y_true,roi_index,roi_name,n,mean_evidence_drop,median_evidence_drop,std_evidence_drop,q25_evidence_drop,q75_evidence_drop,prediction_change_rate,mean_true_conf_original,mean_true_conf_masked
0,6,right_cheek_zygomatic,675,0.07108322178875959,0.006834805011749268,0.17426858584112023,0.00011241436004638672,0.06482711434364319,0.0725925925925926,0.9529922755559286,0.881909053767169
0,8,chin_mandible,675,0.05915715288232874,0.003514528274536133,0.14198705426220817,-5.742907524108887e-05,0.057696908712387085,0.05333333333333334,0.9529922755559286,0.8938351226735998
0,1,upper_brow_forehead,675,0.054032950313002974,0.0024216175079345703,0.16089855456900137,-0.00070151686668396,0.04338917136192322,0.05925925925925926,0.9529922755559286,0.8989593252429255
0,2,left_periocular,675,0.030280016528235542,0.0014827847480773926,0.10589821947447561,-0.00024449825286865234,0.017041504383087158,0.025185185185185185,0.9529922755559286,0.922712259027693
0,5,left_cheek_zygomatic,675,0.026204981450681335,0.00144881010055542,0.11822982311810223,-0.0019494593143463135,0.025049686431884766,0.02666666666666667,0.9529922755559286,0.9267872941052472
0,3,right_periocular,675,0.023566189077165393,0.00032150745391845703,0.11145985027731238,-0.0009884238243103027,0.00902491807937622,0.034074074074074076,0.9529922755559286,0.9294260864787631
0,7,perioral_mouth,675,0.012406787960617631,0.00021845102310180664,0.06676556842609042,-0.000590205192565918,0.007974117994308472,0.014814814814814815,0.9529922755559286,0.9405854875953109
0,4,nasal_midface,675,0.011795467094138817,3.081560134887695e-05,0.09640467060008318,-0.0017963945865631104,0.005470067262649536,0.022222222222222223,0.9529922755559286,0.9411968084617898
1,5,left_cheek_zygomatic,496,0.06017611503404858,0.0006360709667205811,0.2289168911687505,-0.0008638948202133179,0.036861032247543335,0.10483870967741936,0.893511949365098,0.8333358344572785
1,4,nasal_midface,496,0.04456078844618934,0.0006735324859619141,0.14283373685270917,-0.00013275444507598877,0.026061952114105225,0.06048387096774194,0.893511949365098,0.8489511607794846
1,1,upper_brow_forehead,496,0.04246847021403805,0.0018533766269683838,0.16504019838870593,-5.373358726501465e-05,0.04100550711154938,0.06653225806451613,0.893511949365098,0.8510434792712159
1,3,right_periocular,496,0.030228591635257603,0.0013912022113800049,0.11606207398920908,-8.258223533630371e-05,0.024164259433746338,0.038306451612903226,0.893511949365098,0.8632833577464607
1,7,perioral_mouth,496,0.01414132568344294,6.377696990966797e-06,0.11788601703898544,-0.004324436187744141,0.0051044076681137085,0.04233870967741935,0.893511949365098,0.8793706233352256
1,6,right_cheek_zygomatic,496,0.008918492200938355,0.00016295909881591797,0.149394007361091,-0.0032719671726226807,0.01421499252319336,0.056451612903225805,0.893511949365098,0.8845934571084311
1,2,left_periocular,496,0.007966897733504378,2.282857894897461e-05,0.1129420214108742,-0.002957761287689209,0.004495337605476379,0.036290322580645164,0.893511949365098,0.8855450517909752
1,8,chin_mandible,496,-0.00533107545831421,5.066394805908203e-06,0.1237491643655748,-0.010528668761253357,0.004271194338798523,0.04233870967741935,0.893511949365098,0.8988430249169581
