sample_id,split,y_true,centroid_x,centroid_y,centroid_dx_from_center,centroid_dy_from_center,bbox_x0,bbox_x1,bbox_y0,bbox_y1,bbox_width,bbox_height,foreground_fraction
train_0000,train,0,13.542834590254405,16.898927322560844,-1.9571654097455955,1.3989273225608443,0,32,0,32,32,32,0.1923828125
train_0001,train,0,15.147939686360504,17.609580327418133,-0.3520603136394964,2.109580327418133,0,32,0,32,32,32,0.4501953125
train_0002,train,0,13.259478096730737,16.192862112498982,-2.240521903269263,0.6928621124989824,0,32,0,32,32,32,0.3232421875
train_0003,train,0,15.263374925745836,18.40485336940837,-0.2366250742541638,2.9048533694083716,0,32,0,32,32,32,0.4501953125
train_0004,train,0,15.105172163384974,16.220399311291732,-0.3948278366150255,0.7203993112917324,0,32,0,32,32,32,0.5322265625
train_0005,train,0,14.207218711919738,15.355805987415833,-1.2927812880802616,-0.1441940125841672,0,32,0,32,32,32,0.375
train_0006,train,0,15.01580416477535,13.4452065957664,-0.48419583522465004,-2.0547934042335996,0,32,0,31,32,31,0.3857421875
train_0007,train,0,14.637050207990416,13.04793899613434,-0.8629497920095837,-2.4520610038656603,0,32,0,24,32,24,0.3681640625
train_0008,train,0,14.454247929500951,14.342459863262986,-1.0457520704990486,-1.1575401367370137,0,32,0,32,32,32,0.6650390625
train_0009,train,0,14.055878355385826,14.73922211312475,-1.4441216446141745,-0.7607778868752497,0,32,0,30,32,30,0.4814453125
train_0010,train,0,13.468876102126705,15.294176210735008,-2.031123897873295,-0.20582378926499167,0,32,0,32,32,32,0.490234375
train_0011,train,0,13.610947167902946,15.774948147623023,-1.8890528320970539,0.27494814762302333,0,32,0,32,32,32,0.3642578125
train_0012,train,1,19.07119176124227,14.562194515510322,3.5711917612422717,-0.9378054844896777,0,32,0,32,32,32,0.375
train_0013,train,1,17.246217125235294,16.138135799097807,1.7462171252352938,0.6381357990978067,0,32,0,32,32,32,0.353515625
train_0014,train,1,18.18596233233821,14.668997047604039,2.6859623323382102,-0.831002952395961,0,32,0,32,32,32,0.4462890625
train_0015,train,1,19.23339123831983,15.074990383500312,3.733391238319829,-0.42500961649968794,0,32,0,32,32,32,0.29296875
train_0016,train,1,16.755872811401414,17.053693663814865,1.2558728114014137,1.5536936638148653,0,32,5,31,32,26,0.1142578125
train_0017,train,1,16.658201573278376,15.985178264471138,1.158201573278376,0.48517826447113777,0,32,0,32,32,32,0.3447265625
train_0018,train,0,13.707885520205792,13.804707993795118,-1.7921144797942077,-1.6952920062048822,0,32,0,32,32,32,0.3623046875
train_0019,train,0,12.209206696185031,14.445163598421392,-3.2907933038149686,-1.0548364015786085,0,31,0,32,31,32,0.3095703125
