global_index,sample_id,split,label,roi_index,roi_name,x1,y1,x2,y2,source,score
0,train_0000,train,0,1,upper_brow_forehead,47,0,203,64,yunet_landmark5,0.7750451564788818
0,train_0000,train,0,2,left_periocular,47,35,112,122,yunet_landmark5,0.7750451564788818
0,train_0000,train,0,3,right_periocular,137,52,203,139,yunet_landmark5,0.7750451564788818
0,train_0000,train,0,4,nasal_midface,92,95,121,208,yunet_landmark5,0.7750451564788818
0,train_0000,train,0,5,left_cheek_zygomatic,38,121,100,203,yunet_landmark5,0.7750451564788818
0,train_0000,train,0,6,right_cheek_zygomatic,113,121,211,203,yunet_landmark5,0.7750451564788818
0,train_0000,train,0,7,perioral_mouth,58,146,148,228,yunet_landmark5,0.7750451564788818
0,train_0000,train,0,8,chin_mandible,61,218,145,256,yunet_landmark5,0.7750451564788818
1,train_0001,train,0,1,upper_brow_forehead,46,0,210,76,yunet_landmark5,0.8834173679351807
1,train_0001,train,0,2,left_periocular,46,47,115,135,yunet_landmark5,0.8834173679351807
1,train_0001,train,0,3,right_periocular,141,63,210,150,yunet_landmark5,0.8834173679351807
1,train_0001,train,0,4,nasal_midface,102,106,133,207,yunet_landmark5,0.8834173679351807
1,train_0001,train,0,5,left_cheek_zygomatic,37,132,111,202,yunet_landmark5,0.8834173679351807
1,train_0001,train,0,6,right_cheek_zygomatic,125,132,219,202,yunet_landmark5,0.8834173679351807
1,train_0001,train,0,7,perioral_mouth,60,146,163,227,yunet_landmark5,0.8834173679351807
1,train_0001,train,0,8,chin_mandible,63,217,159,256,yunet_landmark5,0.8834173679351807
2,train_0002,train,0,1,upper_brow_forehead,54,0,215,77,yunet_landmark5,0.8789075613021851
2,train_0002,train,0,2,left_periocular,54,52,122,139,yunet_landmark5,0.8789075613021851
2,train_0002,train,0,3,right_periocular,147,61,215,148,yunet_landmark5,0.8789075613021851
2,train_0002,train,0,4,nasal_midface,119,108,149,211,yunet_landmark5,0.8789075613021851
2,train_0002,train,0,5,left_cheek_zygomatic,45,133,127,206,yunet_landmark5,0.8789075613021851
2,train_0002,train,0,6,right_cheek_zygomatic,141,133,223,206,yunet_landmark5,0.8789075613021851
2,train_0002,train,0,7,perioral_mouth,77,150,171,232,yunet_landmark5,0.8789075613021851
2,train_0002,train,0,8,chin_mandible,80,221,168,256,yunet_landmark5,0.8789075613021851
3,train_0003,train,0,1,upper_brow_forehead,46,0,184,70,yunet_landmark5,0.8598918318748474
3,train_0003,train,0,2,left_periocular,46,48,104,135,yunet_landmark5,0.8598918318748474
3,train_0003,train,0,3,right_periocular,126,51,184,138,yunet_landmark5,0.8598918318748474
3,train_0003,train,0,4,nasal_midface,98,101,124,205,yunet_landmark5,0.8598918318748474
3,train_0003,train,0,5,left_cheek_zygomatic,39,126,105,200,yunet_landmark5,0.8598918318748474
3,train_0003,train,0,6,right_cheek_zygomatic,116,126,191,200,yunet_landmark5,0.8598918318748474
3,train_0003,train,0,7,perioral_mouth,72,144,152,226,yunet_landmark5,0.8598918318748474
3,train_0003,train,0,8,chin_mandible,75,216,149,256,yunet_landmark5,0.8598918318748474
4,train_0004,train,0,1,upper_brow_forehead,42,0,192,74,yunet_landmark5,0.8765071630477905
4,train_0004,train,0,2,left_periocular,42,50,106,137,yunet_landmark5,0.8765071630477905
4,train_0004,train,0,3,right_periocular,129,57,192,144,yunet_landmark5,0.8765071630477905
4,train_0004,train,0,4,nasal_midface,100,105,129,221,yunet_landmark5,0.8765071630477905
4,train_0004,train,0,5,left_cheek_zygomatic,34,131,108,216,yunet_landmark5,0.8765071630477905
4,train_0004,train,0,6,right_cheek_zygomatic,121,131,200,216,yunet_landmark5,0.8765071630477905
4,train_0004,train,0,7,perioral_mouth,72,160,151,242,yunet_landmark5,0.8765071630477905
4,train_0004,train,0,8,chin_mandible,75,232,148,256,yunet_landmark5,0.8765071630477905
5,train_0005,train,0,1,upper_brow_forehead,35,0,222,69,yunet_landmark5,0.9262492060661316
5,train_0005,train,0,2,left_periocular,35,48,113,135,yunet_landmark5,0.9262492060661316
5,train_0005,train,0,3,right_periocular,143,50,222,137,yunet_landmark5,0.9262492060661316
5,train_0005,train,0,4,nasal_midface,109,100,144,219,yunet_landmark5,0.9262492060661316
5,train_0005,train,0,5,left_cheek_zygomatic,25,126,119,214,yunet_landmark5,0.9262492060661316
5,train_0005,train,0,6,right_cheek_zygomatic,134,126,231,214,yunet_landmark5,0.9262492060661316
5,train_0005,train,0,7,perioral_mouth,67,158,183,239,yunet_landmark5,0.9262492060661316
5,train_0005,train,0,8,chin_mandible,71,229,179,256,yunet_landmark5,0.9262492060661316
