upper_brow_forehead__mean,upper_brow_forehead__std,upper_brow_forehead__p10,upper_brow_forehead__p90,upper_brow_forehead__grad_mean,left_periocular__mean,left_periocular__std,left_periocular__p10,left_periocular__p90,left_periocular__grad_mean,right_periocular__mean,right_periocular__std,right_periocular__p10,right_periocular__p90,right_periocular__grad_mean,nasal_midface__mean,nasal_midface__std,nasal_midface__p10,nasal_midface__p90,nasal_midface__grad_mean,left_cheek_zygomatic__mean,left_cheek_zygomatic__std,left_cheek_zygomatic__p10,left_cheek_zygomatic__p90,left_cheek_zygomatic__grad_mean,right_cheek_zygomatic__mean,right_cheek_zygomatic__std,right_cheek_zygomatic__p10,right_cheek_zygomatic__p90,right_cheek_zygomatic__grad_mean,perioral_mouth__mean,perioral_mouth__std,perioral_mouth__p10,perioral_mouth__p90,perioral_mouth__grad_mean,chin_mandible__mean,chin_mandible__std,chin_mandible__p10,chin_mandible__p90,chin_mandible__grad_mean,sample_index_train,y_true
0.36063144,0.1382705,0.16782805,0.5644859,0.046211153,0.39004555,0.15562053,0.225029,0.6530909,0.10420406,0.3088589,0.074727826,0.21415302,0.40436083,0.05867835,0.42695525,0.11383484,0.33152306,0.6204443,0.072784044,0.495707,0.1286116,0.35371733,0.6564694,0.08391752,0.39600846,0.11039037,0.33824947,0.4217345,0.043813072,0.28738666,0.033373065,0.25418088,0.3285571,0.027612548,0.30959034,0.048596885,0.2756253,0.3551815,0.03207431,0,0
0.38346687,0.11271014,0.20241836,0.5095892,0.046308096,0.3484135,0.06334177,0.25896972,0.42763144,0.052841857,0.33509725,0.07513234,0.22801314,0.4404858,0.05961097,0.43556884,0.04724292,0.35761642,0.48397648,0.03694985,0.42576823,0.06760229,0.38076967,0.44963402,0.03219556,0.40159407,0.08373639,0.34157798,0.44153732,0.04187759,0.31175688,0.036690272,0.26857382,0.3701463,0.02239921,0.3235889,0.027163532,0.2876398,0.35462934,0.020524846,1,0
0.39922717,0.15738797,0.16267207,0.59892905,0.05259626,0.39197403,0.11880182,0.23195091,0.56106174,0.08587447,0.32193238,0.08838626,0.20337589,0.436826,0.07104386,0.517234,0.09219607,0.37394917,0.6237656,0.07614196,0.4919566,0.071497746,0.42249453,0.56904924,0.04661356,0.36603943,0.052319523,0.31669137,0.4165163,0.03153023,0.30735654,0.06757909,0.23572285,0.41880935,0.039333522,0.30831715,0.053385854,0.24959494,0.3790587,0.026689645,2,0
0.2859809,0.057474155,0.18686315,0.33059132,0.028342912,0.25983045,0.050958488,0.20194353,0.33198813,0.04012669,0.28372177,0.08540569,0.19133362,0.4080097,0.053738207,0.2988585,0.033946536,0.26176876,0.34165967,0.02485775,0.32885215,0.106623985,0.27146074,0.3855195,0.041160304,0.33275753,0.09379442,0.27004716,0.3871168,0.040380165,0.22967312,0.01706952,0.20806088,0.25250545,0.013275747,0.2548733,0.030708537,0.21818605,0.28496787,0.019072618,3,0
0.31720743,0.08346415,0.16370924,0.38903064,0.03365053,0.28941768,0.051356334,0.22401835,0.35937166,0.04541509,0.30940455,0.08415437,0.22509713,0.4486133,0.056253873,0.35710374,0.03312385,0.31387457,0.38661844,0.028404655,0.33898443,0.026044918,0.30033004,0.367715,0.01912126,0.34907025,0.033595018,0.3141254,0.37772962,0.024620736,0.28014484,0.023398101,0.25158548,0.30751783,0.015396846,0.2872339,0.028910162,0.2643558,0.30813277,0.020387165,4,0
0.3236642,0.10760285,0.14508545,0.44753614,0.043843955,0.28838903,0.05955929,0.211849,0.36534628,0.045686495,0.31507984,0.10047455,0.21905701,0.4150078,0.074597836,0.35368964,0.05936752,0.25939393,0.4191393,0.047900833,0.34989548,0.086000055,0.28198928,0.39662263,0.037685785,0.312249,0.065361,0.24127449,0.38521475,0.034713782,0.26295263,0.024264975,0.23118474,0.29206353,0.019768348,0.26219064,0.04580899,0.20236489,0.31194887,0.03455906,5,0
0.44890404,0.1839697,0.1840822,0.711348,0.077900775,0.36856845,0.1194449,0.22651185,0.554318,0.089661494,0.36634213,0.10943322,0.22013195,0.52012515,0.08998724,0.51497424,0.14474642,0.27310297,0.70085645,0.10829935,0.40717548,0.10165595,0.2839067,0.5292338,0.05738504,0.37484425,0.10641458,0.24695045,0.51200247,0.053097814,0.28108063,0.03958339,0.23327287,0.33853436,0.03408703,0.26770252,0.064930364,0.19726706,0.35295087,0.045658253,6,0
0.43216965,0.13353974,0.2275942,0.5962282,0.06655644,0.36612692,0.109068766,0.24409513,0.5204901,0.079209745,0.32674855,0.090780005,0.23799367,0.44937935,0.06263022,0.49308237,0.19322765,0.27330267,0.7713038,0.111979716,0.40468612,0.09436608,0.292797,0.51915526,0.05888306,0.3567349,0.09200702,0.27917838,0.46383458,0.05557047,0.2892136,0.01980175,0.2671275,0.31236508,0.014388873,0.28078613,0.049170837,0.2412221,0.32262585,0.024835516,7,0
0.38645944,0.09681155,0.22311722,0.48728737,0.044656213,0.33828166,0.06548009,0.24886456,0.4189346,0.050132733,0.2985797,0.055683523,0.23691027,0.37940568,0.043804593,0.40454254,0.053292863,0.34125325,0.47878277,0.05133465,0.40393654,0.05990212,0.3261937,0.4644234,0.04006387,0.35798532,0.08970581,0.29391584,0.41248947,0.047122173,0.3204422,0.031731367,0.27913538,0.3566476,0.017564839,0.31385353,0.04586987,0.26287222,0.37181047,0.03089722,8,0
0.5065877,0.1467861,0.2889271,0.6798439,0.07624823,0.43401593,0.10442737,0.29323184,0.5878893,0.076708704,0.3656251,0.098592006,0.23868847,0.5137087,0.060035434,0.52168375,0.092669815,0.38078603,0.6318102,0.07340348,0.52633077,0.087590806,0.39719972,0.65428543,0.053466704,0.41668013,0.11517213,0.28130132,0.54343903,0.06399648,0.38833043,0.054029323,0.31388873,0.45020586,0.03893634,0.32615706,0.085770056,0.20501032,0.44771296,0.049569998,9,0
