y_true,roi_index,roi_name,n,mean_evidence_drop,median_evidence_drop,std_evidence_drop,prediction_change_rate
0,2,left eye,675,0.026607176109596536,0.0016331076622009277,0.09410035037172321,0.022222222222222223
0,8,chin,675,0.02380431925808942,0.0011928081512451172,0.0740566077893741,0.02074074074074074
0,1,upper brow,675,0.015348627655594436,0.00048357248306274414,0.10444971764616166,0.02962962962962963
0,3,right eye,675,0.011641109784444173,0.0001266002655029297,0.07740678734446281,0.016296296296296295
0,4,nasal midface,675,0.009864296030115198,0.0005881190299987793,0.05665469960633913,0.007407407407407408
0,7,mouth,675,-0.0018632532932140208,-0.00015783309936523438,0.048113008961557915,0.007407407407407408
0,6,right cheek,675,-0.007625886157706932,-0.00020676851272583008,0.08528548267702722,0.016296296296296295
0,5,left cheek,675,-0.019420675966474746,-0.0010924339294433594,0.08490823042601307,0.017777777777777778
1,1,upper brow,496,0.1267268021695218,0.01646086573600769,0.24292250924740202,0.1310483870967742
1,5,left cheek,496,0.09869393409368762,0.018350452184677124,0.16485620385328315,0.09475806451612903
1,6,right cheek,496,0.060563176965050876,0.009312540292739868,0.14051585203509132,0.0625
1,7,mouth,496,0.029020647781503466,0.0009679794311523438,0.08730402529794672,0.028225806451612902
1,3,right eye,496,0.021001911052500814,0.0011501610279083252,0.09384612069831022,0.04032258064516129
1,2,left eye,496,0.014671126845754653,0.00031122565269470215,0.09770951011271392,0.036290322580645164
1,4,nasal midface,496,0.014231445859554843,0.0003357231616973877,0.07991495627488111,0.028225806451612902
1,8,chin,496,0.009367642442568115,5.960464477539063e-08,0.1026507471443093,0.034274193548387094
