y_true,roi_index,roi_name,n,mean_gradcam_mean,median_gradcam_mean,mean_mass_fraction
0,7,mouth,675,0.34556275192234254,0.343320369720459,0.0958304555548562
0,6,right cheek,675,0.25506890573297386,0.2429426610469818,0.1337881042925572
0,2,left eye,675,0.23722263504311236,0.2342095822095871,0.09837232075804085
0,1,upper brow,675,0.22814116906995574,0.2162141054868698,0.1852311842467774
0,4,nasal midface,675,0.21642153328422595,0.19185619056224823,0.05046835966925654
0,5,left cheek,675,0.1993474418518168,0.18681757152080536,0.10888059768618809
0,8,chin,675,0.1869500080447782,0.16681471467018127,0.06559973488096148
0,3,right eye,675,0.18253937675041623,0.15789571404457092,0.0714817434514562
1,3,right eye,496,0.2478519827867228,0.22206152975559235,0.13179841299607953
1,8,chin,496,0.21852004114970763,0.17236480861902237,0.11173468149102136
1,1,upper brow,496,0.17844962365288006,0.11580204218626022,0.17622577077806104
1,5,left cheek,496,0.16907592845710762,0.14653459191322327,0.13495111497796908
1,6,right cheek,496,0.1581156184260063,0.13795983791351318,0.11968654668864122
1,4,nasal midface,496,0.15745760701488068,0.12795432657003403,0.050140393059600975
1,7,mouth,496,0.14617910753429075,0.09878469631075859,0.0543702209846625
1,2,left eye,496,0.12777848581793977,0.0755908451974392,0.06483990397986593
