variant,roi_index,roi_name,n,accuracy,balanced_accuracy,f1_class1,auroc,auprc,brier_score,mean_true_confidence,tn,fp,fn,tp,roi_pixels
original,1,upper_brow_forehead,1171,0.5824081981212639,0.5992831541218638,0.5901089689857502,0.6664994026284349,0.6162002999354341,0.2690151574710925,0.5681777596473694,330,345,144,352,192
original,2,left_periocular,1171,0.5610589239965841,0.563923237753883,0.5293040293040293,0.5935274790919952,0.4862508045663561,0.26354390637793784,0.5385491251945496,368,307,207,289,98
original,3,right_periocular,1171,0.5687446626814688,0.6018667861409797,0.6165527714502657,0.6736648745519713,0.6057441866711386,0.2635011792045889,0.540287971496582,260,415,90,406,98
original,4,nasal_midface,1171,0.5499573014517506,0.5548282556750299,0.5247971145175834,0.5787873357228195,0.4971574800454206,0.2876583616497245,0.5226938128471375,353,322,205,291,56
original,5,left_cheek_zygomatic,1171,0.5849701110162254,0.5857332735961769,0.5466417910447762,0.6248118279569892,0.5892368309255787,0.2772233800905376,0.5657472610473633,392,283,203,293,126
original,6,right_cheek_zygomatic,1171,0.6763450042698548,0.6551015531660693,0.574635241301908,0.6988082437275986,0.6095099606301962,0.22968466260594145,0.6166123747825623,536,139,240,256,126
original,7,perioral_mouth,1171,0.5627668659265584,0.5560483870967742,0.4980392156862745,0.5576851851851852,0.5001306736104579,0.2881598070373227,0.5166020393371582,405,270,242,254,64
original,8,chin_mandible,1171,0.6037574722459437,0.5851881720430108,0.49783549783549785,0.6198387096774194,0.5519199502584213,0.2708945477150433,0.5726154446601868,477,198,266,230,80
shift_up_1,1,upper_brow_forehead,1171,0.5815542271562767,0.5910573476702509,0.5694200351493848,0.6549551971326166,0.6056770129987363,0.2616150219571079,0.564552903175354,357,318,172,324,168
shift_up_1,2,left_periocular,1171,0.6353543979504697,0.6329121863799283,0.5890279114533206,0.6654928315412187,0.5728351725048557,0.2360979478887027,0.5623456239700317,438,237,190,306,98
shift_up_1,3,right_periocular,1171,0.5960717335610589,0.6250358422939069,0.6307572209211554,0.6803494623655914,0.6113539430821147,0.25773782769706843,0.5497963428497314,294,381,92,404,98
shift_up_1,4,nasal_midface,1171,0.555935098206661,0.5632213261648745,0.5381882770870338,0.582189366786141,0.4947113095023521,0.2703334944490789,0.5213829278945923,348,327,193,303,56
shift_up_1,5,left_cheek_zygomatic,1171,0.5858240819812126,0.5803255675029868,0.5268292682926828,0.620621266427718,0.590695336806973,0.2731457963083234,0.5681599974632263,416,259,226,270,126
shift_up_1,6,right_cheek_zygomatic,1171,0.6626814688300597,0.6459229390681003,0.5738942826321467,0.7028793309438471,0.6166500799973352,0.23106473816217654,0.619361400604248,510,165,230,266,126
shift_up_1,7,perioral_mouth,1171,0.5747224594363791,0.5845967741935484,0.563922942206655,0.6085902031063322,0.5264948759239015,0.27807573102761063,0.5194548964500427,351,324,174,322,64
shift_up_1,8,chin_mandible,1171,0.6148590947907772,0.5966890681003584,0.5124324324324324,0.6377329749103943,0.5781874401190163,0.25587224785559026,0.5792108178138733,483,192,259,237,80
shift_down_1,1,upper_brow_forehead,1171,0.6046114432109309,0.6233542413381123,0.6151288445552785,0.6604121863799284,0.5966511950113859,0.2785813033943187,0.5594381093978882,338,337,126,370,192
shift_down_1,2,left_periocular,1171,0.5405636208368916,0.5450761648745519,0.5144404332129964,0.5564247311827957,0.4449984933224964,0.2863300693914511,0.5267326831817627,348,327,211,285,98
shift_down_1,3,right_periocular,1171,0.5713065755764304,0.6038216845878136,0.6173780487804877,0.6971923536439666,0.6459731656659746,0.2523038216589581,0.5485031008720398,264,411,91,405,98
shift_down_1,4,nasal_midface,1171,0.5320239111870196,0.5355301672640382,0.5027223230490019,0.5746983273596177,0.5053046030534598,0.30288102073678524,0.5238147377967834,346,329,219,277,56
shift_down_1,5,left_cheek_zygomatic,1171,0.6088812980358668,0.6110185185185185,0.575139146567718,0.6543608124253286,0.6101745897272147,0.2609651266116403,0.573572039604187,403,272,186,310,126
